rosbagTimestamp,x,y,z
1664552160997459761,3883.0,1948.0,480.0
1664552161055767430,3883.0,1948.0,480.0
1664552161115724609,3883.0,1948.0,480.0
1664552161175523779,3883.0,1948.0,480.0
1664552161234972395,3883.0,1948.0,480.0
1664552161295321235,3883.0,1948.0,480.0
1664552161356413131,3883.0,1948.0,480.0
1664552161415765414,3883.0,1948.0,480.0
1664552161476605875,3883.0,1948.0,480.0
1664552161537536146,3607.0,2021.0,480.0
1664552161597464855,3325.0,2083.0,480.0
1664552161659373454,3043.0,2150.0,480.0
1664552161721065968,2758.0,2205.0,480.0
1664552161781901660,2472.0,2265.0,480.0
1664552161842925323,2184.0,2323.0,480.0
1664552161903194648,1896.0,2379.0,480.0
1664552161964238395,1618.0,2451.0,480.0
1664552162025214631,1340.0,2524.0,480.0
1664552162085072953,1053.0,2582.0,480.0
1664552162146886195,1051.0,2585.0,480.0
1664552162207635836,1046.0,2581.0,480.0
1664552162269999725,1043.0,2571.0,480.0
1664552162331217663,1044.0,2580.0,480.0
1664552162391962382,1042.0,2567.0,480.0
1664552162452773921,1044.0,2568.0,480.0
1664552162512858755,1053.0,2585.0,480.0
1664552162573514516,1040.0,2558.0,480.0
1664552162633657293,1028.0,2542.0,480.0
1664552162694438340,1039.0,2554.0,480.0
1664552162756732869,1035.0,2547.0,480.0
1664552162819470764,1036.0,2550.0,480.0
1664552162879697897,1042.0,2562.0,480.0
1664552162940224561,1047.0,2570.0,480.0
1664552163001333222,1047.0,2579.0,480.0
1664552163062052597,1044.0,2577.0,480.0
1664552163123454447,1040.0,2571.0,480.0
1664552163184473668,1054.0,2596.0,480.0
1664552163245500196,1067.0,2606.0,480.0
1664552163306442808,1059.0,2591.0,480.0
1664552163367591340,1065.0,2592.0,480.0
1664552163428771747,1066.0,2586.0,480.0
1664552163490182852,1060.0,2571.0,480.0
1664552163550171120,1054.0,2550.0,480.0
1664552163610587307,1057.0,2549.0,480.0
1664552163671727075,1071.0,2562.0,480.0
1664552163731732736,1072.0,2568.0,480.0
1664552163793086961,1068.0,2565.0,480.0
1664552163853383531,1065.0,2568.0,480.0
1664552163913579036,1070.0,2584.0,480.0
1664552163973309122,1055.0,2567.0,480.0
1664552164032738675,1054.0,2567.0,480.0
1664552164093327585,1053.0,2567.0,480.0
1664552164153760716,1059.0,2589.0,480.0
1664552164225173524,1064.0,2602.0,480.0
1664552164285949801,1049.0,2576.0,480.0
1664552164346274571,1050.0,2575.0,480.0
1664552164406537949,1052.0,2578.0,480.0
1664552164467767580,1053.0,2577.0,480.0
1664552164528045382,1053.0,2574.0,480.0
1664552164589528430,1062.0,2587.0,480.0
1664552164649360559,1055.0,2577.0,480.0
1664552164711241878,1065.0,2594.0,480.0
1664552164774105617,1064.0,2594.0,480.0
1664552164836507140,1067.0,2598.0,480.0
1664552164896133034,1074.0,2616.0,480.0
1664552164956227309,1075.0,2610.0,480.0
1664552165017893093,1076.0,2612.0,480.0
1664552165078574972,1076.0,2612.0,480.0
1664552165140523047,1074.0,2602.0,480.0
1664552165203079299,1075.0,2598.0,480.0
1664552165262106263,1081.0,2599.0,480.0
1664552165323887226,1081.0,2597.0,480.0
1664552165383674043,1080.0,2599.0,480.0
1664552165443846889,1081.0,2598.0,480.0
1664552165504272623,1090.0,2612.0,480.0
1664552165563942521,1087.0,2613.0,480.0
1664552165626592216,1087.0,2612.0,480.0
1664552165688923345,1088.0,2616.0,480.0
1664552165750748561,1079.0,2607.0,480.0
1664552165813552513,1081.0,2619.0,480.0
1664552165874425869,1091.0,2650.0,480.0
1664552165936013659,1083.0,2635.0,480.0
1664552165998138917,1082.0,2627.0,480.0
1664552166058318559,1079.0,2617.0,480.0
1664552166120115519,1077.0,2612.0,480.0
1664552166181788644,1077.0,2613.0,480.0
1664552166242857884,1072.0,2606.0,480.0
1664552166303526184,1063.0,2586.0,480.0
1664552166365543896,1068.0,2593.0,480.0
