rosbagTimestamp,x,y,z
1664553922181836540,3846.0,2646.0,480.0
1664553922241244402,3772.0,2710.0,480.0
1664553922302777765,3703.0,2778.0,480.0
1664553922364794563,3632.0,2845.0,480.0
1664553922424092882,3561.0,2915.0,480.0
1664553922485666375,3490.0,2987.0,480.0
1664553922546927661,3417.0,3059.0,480.0
1664553922607063561,3347.0,3130.0,480.0
1664553922668823523,3274.0,3199.0,480.0
1664553922728981697,3208.0,3257.0,480.0
1664553922789449925,3242.0,3194.0,480.0
1664553922850799687,3259.0,3173.0,480.0
1664553922911200524,3278.0,3145.0,480.0
1664553922971979468,3299.0,3112.0,480.0
1664553923031959535,3323.0,3076.0,480.0
1664553923090063889,3350.0,3035.0,480.0
1664553923148516390,3378.0,2993.0,480.0
1664553923211230136,3407.0,2951.0,480.0
1664553923271752209,3438.0,2906.0,480.0
1664553923328651393,3463.0,2873.0,480.0
1664553923388311189,3486.0,2846.0,480.0
1664553923450944241,3507.0,2823.0,480.0
1664553923510728194,3525.0,2804.0,480.0
1664553923572113922,3541.0,2788.0,480.0
1664553923634264186,3556.0,2774.0,480.0
1664553923697772202,3570.0,2761.0,480.0
1664553923758785110,3583.0,2750.0,480.0
1664553923819421939,3594.0,2740.0,480.0
1664553923894585579,3605.0,2732.0,480.0
1664553923957030960,3614.0,2724.0,480.0
1664553924017527216,3623.0,2717.0,480.0
1664553924078635471,3631.0,2711.0,480.0
1664553924139345638,3639.0,2706.0,480.0
1664553924199431038,3646.0,2701.0,480.0
1664553924260555762,3653.0,2697.0,480.0
1664553924321718918,3659.0,2693.0,480.0
1664553924381791553,3665.0,2690.0,480.0
1664553924441433323,3671.0,2686.0,480.0
1664553924500930988,3676.0,2683.0,480.0
1664553924560348808,3681.0,2681.0,480.0
1664553924621427219,3686.0,2678.0,480.0
1664553924680711114,3690.0,2675.0,480.0
1664553924740100751,3695.0,2673.0,480.0
1664553924799382670,3699.0,2671.0,480.0
1664553924860467440,3703.0,2669.0,480.0
1664553924922445148,3706.0,2667.0,480.0
1664553924985003559,3710.0,2665.0,480.0
1664553925045934518,3713.0,2663.0,480.0
1664553925106936642,3717.0,2662.0,480.0
1664553925168968949,3720.0,2660.0,480.0
1664553925230751798,3723.0,2659.0,480.0
1664553925290520492,3726.0,2658.0,480.0
1664553925351426166,3728.0,2656.0,480.0
1664553925411353471,3731.0,2655.0,480.0
1664553925471985245,3733.0,2654.0,480.0
1664553925533027376,3736.0,2653.0,480.0
1664553925594145848,3738.0,2652.0,480.0
1664553925655322770,3741.0,2650.0,480.0
1664553925716239352,3743.0,2649.0,480.0
1664553925778492144,3745.0,2648.0,480.0
1664553925839391380,3748.0,2647.0,480.0
1664553925899237762,3750.0,2646.0,480.0
1664553925959640397,3752.0,2644.0,480.0
1664553926021300747,3754.0,2643.0,480.0
1664553926083034775,3756.0,2642.0,480.0
1664553926142752582,3758.0,2641.0,480.0
1664553926203899541,3760.0,2640.0,480.0
1664553926264260447,3762.0,2640.0,480.0
1664553926323713589,3764.0,2639.0,480.0
1664553926393151286,3765.0,2638.0,480.0
1664553926457442397,3767.0,2638.0,480.0
1664553926518504655,3768.0,2637.0,480.0
1664553926578422204,3770.0,2637.0,480.0
1664553926637681001,3771.0,2637.0,480.0
1664553926701488981,3772.0,2636.0,480.0
1664553926765299292,3773.0,2636.0,480.0
1664553926825664433,3774.0,2636.0,480.0
1664553926886479388,3775.0,2635.0,480.0
1664553926947393881,3776.0,2635.0,480.0
1664553927007234070,3777.0,2634.0,480.0
1664553927068351455,3778.0,2634.0,480.0
1664553927127804804,3778.0,2634.0,480.0
1664553927188225551,3779.0,2633.0,480.0
1664553927248484017,3780.0,2633.0,480.0
1664553927307128702,3781.0,2633.0,480.0
1664553927366403439,3782.0,2632.0,480.0
1664553927426001635,3782.0,2632.0,480.0
1664553927486709380,3783.0,2632.0,480.0
1664553927546527307,3784.0,2632.0,480.0
1664553927606437513,3785.0,2632.0,480.0
1664553927666566428,3785.0,2632.0,480.0
1664553927726785917,3786.0,2632.0,480.0
1664553927788767528,3787.0,2632.0,480.0
1664553927848482105,3788.0,2631.0,480.0
1664553927908766865,3789.0,2631.0,480.0
1664553927969653038,3790.0,2631.0,480.0
1664553928029495752,3791.0,2630.0,480.0
1664553928090383503,3792.0,2630.0,480.0
1664553928149508437,3793.0,2629.0,480.0
1664553928209579502,3794.0,2629.0,480.0
