rosbagTimestamp,x,y,z
1664548426274263404,1568.0,865.0,480.0
1664548426334158885,1568.0,865.0,480.0
1664548426393366405,1568.0,865.0,480.0
1664548426453612982,1568.0,865.0,480.0
1664548426514139540,1568.0,865.0,480.0
1664548426575273924,1568.0,865.0,480.0
1664548426636660267,1568.0,865.0,480.0
1664548426698160508,1568.0,865.0,480.0
1664548426758041268,1568.0,865.0,480.0
1664548426818692630,1619.0,872.0,480.0
1664548426879424912,1669.0,880.0,480.0
1664548426940051653,1715.0,885.0,480.0
1664548427001815148,1764.0,891.0,480.0
1664548427062292331,1815.0,901.0,480.0
1664548427124047196,1863.0,910.0,480.0
1664548427184321736,1913.0,921.0,480.0
1664548427245039106,1961.0,934.0,480.0
1664548427304931025,2012.0,943.0,480.0
1664548427365929552,2060.0,953.0,480.0
1664548427427220617,2056.0,962.0,480.0
1664548427489199988,2053.0,969.0,480.0
1664548427550302618,2054.0,974.0,480.0
1664548427611569907,2053.0,977.0,480.0
1664548427672988953,2048.0,979.0,480.0
1664548427733509075,2044.0,983.0,480.0
1664548427795541193,2040.0,984.0,480.0
1664548427856131385,2036.0,981.0,480.0
1664548427915626768,2039.0,977.0,480.0
1664548427978859873,2037.0,968.0,480.0
1664548428040462191,2040.0,959.0,480.0
1664548428102827518,2045.0,953.0,480.0
1664548428164170408,2045.0,948.0,480.0
1664548428224844933,2045.0,945.0,480.0
1664548428285311311,2051.0,941.0,480.0
1664548428347366776,2057.0,938.0,480.0
1664548428409020120,2065.0,930.0,480.0
1664548428471689876,2067.0,929.0,480.0
1664548428533772230,2061.0,935.0,480.0
1664548428595152313,2064.0,939.0,480.0
1664548428656614221,2063.0,940.0,480.0
1664548428718579664,2058.0,943.0,480.0
1664548428780483094,2060.0,950.0,480.0
1664548428841543878,2063.0,950.0,480.0
1664548428904149520,2062.0,951.0,480.0
1664548428965910275,2062.0,952.0,480.0
1664548429029956710,2059.0,957.0,480.0
1664548429091099568,2058.0,958.0,480.0
1664548429154081327,2061.0,962.0,480.0
1664548429217074505,2062.0,967.0,480.0
1664548429278927644,2058.0,973.0,480.0
1664548429340600848,2057.0,974.0,480.0
1664548429403552057,2057.0,970.0,480.0
1664548429467001265,2052.0,979.0,480.0
1664548429529347973,2048.0,981.0,480.0
1664548429589733545,2046.0,980.0,480.0
1664548429652349800,2043.0,978.0,480.0
1664548429716158628,2046.0,976.0,480.0
1664548429778964771,2042.0,968.0,480.0
1664548429840214382,2044.0,964.0,480.0
1664548429903117342,2051.0,963.0,480.0
1664548429965167818,2055.0,959.0,480.0
1664548430025982547,2056.0,955.0,480.0
1664548430087094343,2063.0,942.0,480.0
1664548430148799677,2064.0,944.0,480.0
1664548430211633131,2062.0,948.0,480.0
1664548430273458903,2062.0,951.0,480.0
1664548430337050247,2061.0,956.0,480.0
1664548430400546343,2059.0,963.0,480.0
1664548430463443513,2055.0,965.0,480.0
1664548430523960576,2051.0,968.0,480.0
1664548430586983525,2047.0,975.0,480.0
1664548430649142625,2045.0,979.0,480.0
1664548430711429987,2039.0,983.0,480.0
1664548430773795311,2040.0,984.0,480.0
1664548430836047498,2040.0,981.0,480.0
1664548430897672849,2041.0,981.0,480.0
1664548430974383432,2041.0,978.0,480.0
1664548431036483765,2042.0,978.0,480.0
1664548431098640760,2042.0,984.0,480.0
1664548431159629387,2040.0,980.0,480.0
1664548431222268888,2042.0,977.0,480.0
1664548431283694268,2045.0,977.0,480.0
1664548431345590031,2049.0,981.0,480.0
1664548431406357385,2049.0,977.0,480.0
1664548431468868610,2050.0,980.0,480.0
1664548431531214466,2053.0,978.0,480.0
1664548431591688913,2054.0,977.0,480.0
1664548431653809793,2057.0,975.0,480.0
1664548431715017941,2059.0,972.0,480.0
1664548431774924289,2060.0,977.0,480.0
1664548431835867582,2057.0,973.0,480.0
1664548431907666475,2049.0,968.0,480.0
1664548431968776370,2046.0,968.0,480.0
1664548432028430351,2044.0,971.0,480.0
1664548432088736331,2040.0,969.0,480.0
1664548432151347749,2034.0,973.0,480.0
1664548432214984081,2027.0,975.0,480.0
1664548432275780397,2022.0,975.0,480.0
1664548432771570503,2021.0,977.0,480.0
1664548432836578727,2026.0,975.0,480.0
1664548432897911894,2031.0,981.0,480.0
1664548432958058249,2036.0,981.0,480.0
1664548433020838463,2037.0,979.0,480.0
1664548433084259146,2042.0,979.0,480.0
1664548433144950244,2048.0,975.0,480.0
1664548433206390510,2050.0,970.0,480.0
1664548433268861652,2055.0,966.0,480.0
1664548433330365456,2062.0,968.0,480.0
1664548433391005734,2061.0,970.0,480.0
1664548433452653291,2059.0,972.0,480.0
1664548433513437899,2056.0,967.0,480.0
1664548433575013229,2057.0,977.0,480.0
1664548433636004585,2059.0,984.0,480.0
1664548433697146397,2057.0,987.0,480.0
1664548433758187795,2057.0,988.0,480.0
1664548433819599594,2062.0,991.0,480.0
1664548433880009668,2067.0,997.0,480.0
1664548433941673444,2066.0,994.0,480.0
1664548434003773326,2069.0,983.0,480.0
1664548434064833287,2069.0,978.0,480.0
1664548434125259697,2071.0,978.0,480.0
1664548434186064090,2069.0,975.0,480.0
1664548434245613717,2068.0,970.0,480.0
