rosbagTimestamp,x,y,z
1665751167942687801,2852.0,2538.0,1822.0
1665751168020021494,2852.0,2538.0,1822.0
1665751168097056564,2852.0,2538.0,1822.0
1665751168590331785,2917.0,2763.0,1699.0
1665751168672632115,2941.0,2734.0,1695.0
1665751168737361879,2937.0,2790.0,1550.0
1665751168812769223,2908.0,2761.0,1642.0
1665751168873357493,2904.0,2759.0,1625.0
1665751168938881303,2918.0,2781.0,1617.0
1665751169431736555,2919.0,2793.0,1511.0
1665751169494967176,2940.0,2741.0,1537.0
1665751169557421713,2944.0,2760.0,1618.0
1665751169620532940,2934.0,2740.0,1492.0
1665751169683871417,2916.0,2769.0,1544.0
1665751169745761380,2902.0,2741.0,1542.0
1665751169808587898,2962.0,2749.0,1532.0
1665751169870468530,2931.0,2820.0,1378.0
1665751169930375892,2906.0,2698.0,1643.0
1665751170005921765,2927.0,2704.0,1583.0
1665751170510988023,2942.0,2735.0,1781.0
1665751170586639617,2957.0,2805.0,1621.0
1665751170662140291,2918.0,2740.0,1753.0
1665751170752838372,2976.0,2768.0,1554.0
1665751170813757701,2976.0,2768.0,1554.0
1665751170874918435,2943.0,2823.0,1496.0
1665751170938677220,2932.0,2785.0,1551.0
1665751170999786391,2937.0,2775.0,1645.0
1665751171060296445,2892.0,2727.0,1749.0
1665751171122194768,2899.0,2758.0,1698.0
1665751171222363063,2892.0,2727.0,1749.0
1665751171776881624,2951.0,2789.0,1536.0
1665751171839410637,2918.0,2771.0,1525.0
1665751171930608599,2934.0,2773.0,1539.0
1665751171991102647,2956.0,2753.0,1544.0
1665751172063196451,2955.0,2737.0,1520.0
1665751173056730628,2988.0,2767.0,1523.0
1665751173117367875,2958.0,2764.0,1612.0
1665751173190605740,2938.0,2755.0,1550.0
1665751173305801745,2978.0,2807.0,1526.0
1665751173883448386,2916.0,2751.0,1603.0
1665751173943449774,2938.0,2778.0,1618.0
1665751174436998917,2978.0,2858.0,1398.0
1665751174921413931,2978.0,2858.0,1398.0
1665751174985366268,2951.0,2770.0,1551.0
1665751175044575524,2939.0,2791.0,1560.0
1665751175550619993,2949.0,2757.0,1535.0
1665751175654229240,2974.0,2743.0,1558.0
1665751175744671987,2980.0,2775.0,1523.0
1665751175806178976,2950.0,2712.0,1580.0
1665751176302017883,2949.0,2791.0,1459.0
1665751176363298696,2966.0,2750.0,1514.0
1665751176439649285,2925.0,2758.0,1437.0
1665751176516734432,2929.0,2723.0,1524.0
1665751176606450975,2964.0,2772.0,1573.0
1665751176678099233,2934.0,2773.0,1539.0
1665751176735264564,2941.0,2780.0,1518.0
1665751176795380334,2941.0,2755.0,1622.0
1665751176855804075,2959.0,2723.0,1738.0
1665751176917418403,2978.0,2751.0,1623.0
1665751177882718443,2919.0,2756.0,1611.0
1665751177943623956,2939.0,2773.0,1527.0
1665751178019522329,2942.0,2777.0,1617.0
1665751178079081593,2924.0,2765.0,1696.0
1665751178155009772,2950.0,2705.0,1700.0
1665751178211756860,2932.0,2760.0,1629.0
1665751178271111758,2904.0,2759.0,1625.0
1665751178343738268,2945.0,2742.0,1680.0
1665751178861956538,2985.0,2705.0,1713.0
1665751179368875053,2943.0,2823.0,1496.0
1665751179459358649,2942.0,2784.0,1500.0
1665751179520113029,2956.0,2765.0,1630.0
1665751179616743873,2960.0,2800.0,1666.0
1665751179736540161,2968.0,2808.0,1540.0
1665751180689771696,2949.0,2757.0,1534.0
