rosbagTimestamp,x,y,z
1665748803231881305,0.0,0.0,0.0
1665748803289035107,0.0,0.0,0.0
1665748803345164037,0.0,0.0,0.0
1665748803401137986,0.0,0.0,0.0
1665748803457485336,0.0,0.0,0.0
1665748803513212574,0.0,0.0,0.0
1665748803569426362,0.0,0.0,0.0
1665748803635360037,0.0,0.0,0.0
1665748803691681618,0.0,0.0,0.0
1665748803749408270,1892.0,2107.0,2429.0
1665748803803755015,1961.0,2858.0,570.0
1665748803859173603,2000.0,2916.0,485.0
1665748803913416581,2003.0,2890.0,450.0
1665748803966991303,1989.0,2839.0,548.0
1665748804022079640,1985.0,2911.0,430.0
1665748804076747610,1972.0,2913.0,474.0
1665748804130453086,1965.0,2860.0,503.0
1665748804184956311,1988.0,2860.0,475.0
1665748804240061491,1976.0,2892.0,476.0
1665748804296206975,1899.0,2062.0,2452.0
1665748804351758991,1962.0,2836.0,440.0
1665748804407446323,1998.0,2834.0,558.0
1665748804461766543,1991.0,2854.0,470.0
1665748804516761684,1960.0,2892.0,390.0
1665748804571915099,1983.0,2920.0,398.0
1665748804627809316,1986.0,2863.0,374.0
1665748804682993934,1963.0,2900.0,452.0
1665748804739301279,1969.0,2914.0,452.0
1665748804793773881,1976.0,2845.0,460.0
1665748804848967151,2001.0,2895.0,513.0
1665748804902603379,2012.0,2821.0,531.0
1665748804957249599,2019.0,2898.0,545.0
1665748805012278867,2006.0,2850.0,562.0
1665748805066481072,1996.0,2875.0,455.0
1665748805120614015,2029.0,2908.0,472.0
1665748805174905671,1998.0,2893.0,458.0
1665748805230370165,2004.0,2893.0,492.0
1665748805284400002,2038.0,2853.0,461.0
1665748805338568590,2045.0,2894.0,449.0
1665748805394261787,1931.0,2133.0,2424.0
1665748805448824643,1899.0,2090.0,2472.0
1665748805503738075,1885.0,2082.0,2390.0
1665748805559314872,1894.0,2149.0,2430.0
1665748805613119938,1943.0,2525.0,1402.0
1665748805668165070,1976.0,2866.0,487.0
1665748805723243320,1929.0,2086.0,2491.0
1665748805777093604,1970.0,2511.0,1437.0
1665748805832063106,1905.0,2125.0,2408.0
1665748805889687751,1959.0,2921.0,406.0
1665748805943553515,2028.0,2899.0,422.0
1665748805999273698,1990.0,2890.0,490.0
1665748806055649654,1990.0,2890.0,490.0
1665748806110251032,2023.0,2857.0,487.0
1665748806165058920,1975.0,2813.0,505.0
1665748806218157469,1960.0,2883.0,465.0
1665748806272332809,2023.0,2857.0,487.0
1665748806326289283,2002.0,2929.0,420.0
1665748806382564645,1968.0,2873.0,476.0
1665748806437510465,1982.0,2870.0,509.0
1665748806492736388,2000.0,2885.0,471.0
1665748806547053981,1976.0,2903.0,494.0
1665748806601379680,1976.0,2903.0,494.0
1665748806655700051,1953.0,2871.0,561.0
1665748806709826538,1975.0,2854.0,539.0
1665748806764516987,1950.0,2908.0,437.0
1665748806818522450,1976.0,2903.0,494.0
1665748806873735885,1986.0,2907.0,445.0
1665748806928367234,1981.0,2927.0,484.0
1665748806983537292,1987.0,2876.0,485.0
1665748807037768197,1986.0,2935.0,462.0
1665748807092331010,2000.0,2902.0,461.0
1665748807147896295,1978.0,2935.0,511.0
1665748807201818432,1989.0,2909.0,465.0
1665748807258570797,2032.0,2964.0,407.0
1665748807313258465,1987.0,2901.0,440.0
1665748807368329848,1962.0,2901.0,530.0
1665748807424931899,1981.0,2940.0,508.0
1665748807479342994,1986.0,2935.0,462.0
1665748807533342568,1999.0,2914.0,483.0
1665748807588848518,1998.0,2834.0,558.0
1665748807644064533,1994.0,2892.0,426.0
1665748807698509418,2017.0,2916.0,363.0
1665748807753034799,2011.0,2917.0,390.0
1665748807809111550,2017.0,2921.0,509.0
1665748807864561983,2001.0,2874.0,394.0
1665748807920055617,1987.0,2870.0,442.0
1665748807975857759,1987.0,2870.0,442.0
1665748808030889392,1986.0,2863.0,374.0
1665748808087849265,1915.0,2089.0,2430.0
1665748808141646911,2043.0,2833.0,467.0
1665748808196209256,2007.0,2876.0,483.0
1665748808251179561,2004.0,2894.0,444.0
1665748808306689529,1997.0,2824.0,563.0
1665748808361831018,2005.0,2896.0,413.0
1665748808417623134,2017.0,2897.0,400.0
1665748808471836602,1998.0,2893.0,458.0
1665748808526283353,1999.0,2894.0,393.0
1665748808581108327,1998.0,2893.0,458.0
1665748808634983624,2028.0,2899.0,422.0
1665748808689594719,1964.0,2866.0,502.0
1665748808744735962,1888.0,2129.0,2316.0
1665748808800526491,1964.0,2866.0,502.0
1665748808857392326,1934.0,2816.0,627.0
1665748808914714757,1956.0,2850.0,458.0
1665748808969459037,1946.0,2816.0,560.0
1665748809024683292,1953.0,2898.0,416.0
1665748809080004988,1932.0,2866.0,563.0
1665748809135212310,1987.0,2889.0,429.0
1665748809190481795,1996.0,2875.0,516.0
1665748809244385497,2020.0,2898.0,533.0
1665748809300387023,1996.0,2875.0,516.0
1665748809355589636,1971.0,2865.0,518.0
1665748809846400201,1916.0,2113.0,2442.0
1665748809900549106,2030.0,2903.0,399.0
1665748809954833638,2027.0,2904.0,464.0
1665748810010479263,2019.0,2905.0,346.0
1665748810064700986,2001.0,2925.0,419.0
1665748810120057155,2000.0,2892.0,419.0
1665748810175337156,2000.0,2892.0,419.0
1665748810230592672,1911.0,2051.0,2515.0
1665748810285406276,2019.0,2905.0,346.0
1665748810341841062,2027.0,2861.0,418.0
1665748810397211027,2008.0,2851.0,490.0
1665748810450925141,2020.0,2875.0,437.0
1665748810505784744,2020.0,2875.0,437.0
1665748810560830261,2007.0,2844.0,461.0
1665748810617688255,2004.0,2888.0,374.0
1665748810673082602,2032.0,2874.0,395.0
1665748810728347303,2005.0,2896.0,413.0
1665748810782526281,1998.0,2893.0,458.0
1665748810838737362,2008.0,2808.0,518.0
1665748810893758891,1996.0,2875.0,455.0
1665748810948665313,2068.0,2896.0,463.0
1665748811004595006,2022.0,2936.0,388.0
1665748811059005024,2040.0,2918.0,411.0
1665748811115097789,2040.0,2918.0,411.0
1665748811169953720,2009.0,2941.0,431.0
1665748811224993722,2047.0,2916.0,367.0
1665748811278619862,2022.0,2936.0,388.0
1665748811332509793,2020.0,2911.0,398.0
1665748811388217653,2040.0,2918.0,411.0
1665748811444736041,2009.0,2941.0,431.0
1665748811499180726,2072.0,2995.0,336.0
1665748811553070441,2048.0,2966.0,395.0
1665748811607384764,2034.0,2936.0,344.0
1665748811661722742,2033.0,2936.0,417.0
1665748811717276203,2045.0,2955.0,354.0
1665748811771650855,2050.0,2935.0,393.0
1665748811827831902,2047.0,2916.0,367.0
1665748811881945067,2034.0,2936.0,344.0
1665748811938367225,2071.0,2945.0,309.0
1665748811993144560,2020.0,2911.0,398.0
1665748812048713924,2033.0,2896.0,479.0
1665748812102547459,2009.0,2859.0,506.0
1665748812157378762,1997.0,2896.0,444.0
1665748812212110706,2031.0,2921.0,400.0
1665748812267430608,2010.0,2894.0,402.0
1665748812322488819,1997.0,2920.0,407.0
1665748812377969096,2018.0,2918.0,455.0
1665748812432707197,2014.0,2875.0,400.0
1665748812490944377,2005.0,2874.0,514.0
1665748812547109683,2010.0,2894.0,470.0
1665748812600979798,2068.0,2910.0,394.0
1665748812657069171,2068.0,2910.0,394.0
1665748812712513644,2052.0,2891.0,410.0
1665748812767735387,2055.0,2872.0,403.0
1665748812821783859,2071.0,2945.0,309.0
1665748812878636055,2068.0,2910.0,394.0
1665748812933204450,2047.0,2890.0,432.0
1665748812992231187,2047.0,2890.0,432.0
1665748813048652707,2058.0,2968.0,420.0
1665748813105401536,2013.0,2839.0,528.0
1665748813160065041,2006.0,2931.0,375.0
1665748813216712194,1997.0,2932.0,355.0
1665748813271352487,2000.0,2859.0,432.0
1665748813327607938,1985.0,2911.0,430.0
1665748813382037679,1979.0,2831.0,426.0
1665748813437933717,2005.0,2890.0,388.0
1665748813495934856,1975.0,2912.0,410.0
1665748813553120826,1985.0,2911.0,430.0
1665748813608511116,1998.0,2912.0,381.0
1665748813665650242,1998.0,2912.0,381.0
1665748813721813671,1998.0,2912.0,381.0
1665748813777384010,1998.0,2912.0,381.0
1665748813832135196,2034.0,2910.0,355.0
1665748813887623780,2025.0,2911.0,392.0
1665748813943162737,2006.0,2931.0,375.0
1665748813999649326,2012.0,2890.0,410.0
1665748814054811830,1988.0,2926.0,361.0
1665748814110345323,2035.0,2875.0,380.0
1665748814167367893,2030.0,2898.0,412.0
1665748814224556665,2021.0,2898.0,349.0
1665748814278682618,2024.0,2874.0,425.0
1665748814333894061,2048.0,2872.0,412.0
1665748814389020472,2024.0,2874.0,425.0
1665748814459234708,2030.0,2916.0,347.0
1665748814513426744,2048.0,2851.0,411.0
1665748814568729994,2035.0,2875.0,380.0
1665748814625660841,2032.0,2876.0,446.0
1665748814680808468,2070.0,2874.0,483.0
1665748814737105537,2045.0,2875.0,398.0
1665748814791204822,2045.0,2854.0,472.0
1665748814847291934,2045.0,2854.0,472.0
1665748814901736948,2053.0,2896.0,389.0
1665748814956789786,2033.0,2847.0,485.0
1665748815013563148,2065.0,2851.0,424.0
1665748815074974614,2045.0,2875.0,398.0
1665748815130718821,2073.0,2874.0,418.0
1665748815185034612,2048.0,2851.0,411.0
1665748815239487830,2044.0,2821.0,427.0
1665748815295027260,2039.0,2853.0,451.0
1665748815350130452,2057.0,2897.0,392.0
1665748815406132304,2021.0,2898.0,349.0
1665748815460475410,2009.0,2876.0,472.0
1665748815516617333,2008.0,2895.0,405.0
1665748815571001775,2024.0,2874.0,425.0
1665748815627026469,2021.0,2898.0,349.0
1665748815683181514,2030.0,2887.0,425.0
1665748815737365789,2013.0,2939.0,415.0
1665748815806979941,2017.0,2980.0,415.0
1665748815860933534,2037.0,2970.0,355.0
1665748815917481327,2038.0,2943.0,417.0
1665748815971416331,2034.0,2892.0,345.0
1665748816027554423,2038.0,2943.0,417.0
1665748816083066491,2041.0,2918.0,394.0
1665748816138835349,2024.0,2945.0,472.0
1665748816193935697,2029.0,2921.0,406.0
1665748816247841213,2031.0,2947.0,309.0
1665748816305233780,2017.0,2918.0,391.0
1665748816360149430,2008.0,2895.0,405.0
1665748816416823495,2021.0,2898.0,349.0
1665748816471323109,2035.0,2875.0,380.0
1665748816527143409,2035.0,2875.0,380.0
1665748816583291629,2048.0,2873.0,338.0
1665748816637087275,2030.0,2898.0,412.0
1665748816691074512,2048.0,2851.0,411.0
1665748816745015191,2098.0,2925.0,356.0
1665748816799200250,2034.0,2936.0,344.0
1665748816854915260,2074.0,2896.0,416.0
